,band,telescope,obsmjd,mag,mag_err,alert
107,U,Swift,58693.689475,18.514758999999998,0.095200911,True
108,U,Swift,58705.749763,18.391745,0.11087659,True
109,U,Swift,58707.272195000005,18.416176,0.099212125,True
110,U,Swift,58712.41439500001,18.559835,0.12345038,True
111,U,Swift,58719.55621,18.223999,0.14840581,True
112,U,Swift,58724.335168,18.43228,0.11010879,True
113,U,Swift,58729.580637,18.692541000000002,0.13048047,True
114,U,Swift,58734.431226,18.488216,0.10414004,True
115,U,Swift,58750.429169,18.699741,0.10508538,True
116,U,Swift,59007.690095000005,19.535429,0.12017627,True
117,V,Swift,58659.797638,17.896245999999998,0.1689634,True
118,V,Swift,58672.457141,18.104001999999998,0.17872331,True
119,V,Swift,58678.271147,18.019234,0.20007767,True
120,V,Swift,58683.765071,18.002487,0.30967346,True
121,V,Swift,58688.412937,18.117838,0.27170774,True
122,V,Swift,58693.694219000005,17.826971,0.14086673,True
123,V,Swift,58705.755286,17.72427,0.17136867,True
124,V,Swift,58707.279511,18.030967999999998,0.17628694,True
125,V,Swift,58712.417880999994,17.990265,0.18945429,True
126,V,Swift,58719.558858000004,17.565239000000002,0.22343127,True
127,V,Swift,58724.338880999996,17.895567,0.16952622,True
128,V,Swift,58729.916147,18.236206,0.33871013,True
129,V,Swift,58734.438420000006,17.810152,0.1572174,True
130,V,Swift,58750.432195,18.025635,0.15668081,True
131,J,P200,59032.0,18.520498,0.04727589,True
132,H,P200,59032.0,16.7945,0.062270000000000006,True
133,Ks,P200,59032.0,15.4612,0.082146,True
134,ZTF_g,P48,58599.25238430001,21.46241020458781,0.1721569295577546,False
135,ZTF_g,P48,58600.39372690001,21.33955713979136,0.1826886548148403,False
136,ZTF_g,P48,58600.39875,21.139720939504482,0.14125799743536815,False
137,ZTF_g,P48,58600.3997106,21.40689279226688,0.18236442015616094,False
138,ZTF_r,P48,58600.46958330001,21.13702109878065,0.1659879084704372,False
139,ZTF_r,P48,58605.3794097,20.67310941323661,0.13976675808933833,False
140,ZTF_r,P48,58605.4004282,20.508974445613653,0.10247956980573797,False
141,ZTF_r,P48,58605.4013426,20.560502577487807,0.10641684892622916,False
142,ZTF_r,P48,58605.41973380001,20.64405277271421,0.15756911296047005,False
143,ZTF_g,P48,58605.48425930001,20.424939705606448,0.10179387609489032,False
144,ZTF_r,P48,58606.3095255,20.512048130725816,0.1472857559645999,False
145,ZTF_r,P48,58607.36155090001,20.146147464696355,0.06246817827330128,False
146,ZTF_r,P48,58607.3783449,20.183841694370503,0.07385069110679135,False
147,ZTF_g,P48,58607.4166204,20.306390233384572,0.06980023068363272,False
148,ZTF_g,P48,58607.4359954,20.260427742920207,0.06267234608902374,False
149,ZTF_g,P48,58608.31751159999,20.19148511738532,0.0870245743428301,False
150,ZTF_r,P48,58608.3406019,20.070690165612703,0.11225072053782656,False
151,ZTF_r,P48,58608.3577431,19.979854787851146,0.10111547904645886,False
152,ZTF_r,P48,58608.3591319,20.040216577599708,0.09300425029418684,False
