,band,telescope,obsmjd,mag,mag_err,alert
386,ZTF_r,P48,58703.1685532,18.149610167848348,0.030991470376757983,False
387,ZTF_g,P48,58703.1986458,18.188469660207893,0.020658472449097128,False
388,ZTF_g,P48,58705.25407409999,18.114321905006683,0.020376285939658886,False
389,ZTF_g,P48,58708.1516782,18.115364473004252,0.02668094832608701,False
390,ZTF_g,P48,58708.17195599999,18.23096326333744,0.02461117912853011,False
391,ZTF_g,P48,58708.1728819,18.144770970617,0.02617397028179453,False
392,ZTF_g,P48,58708.3500347,18.22271365246421,0.05691744169266558,False
393,ZTF_g,P48,58709.1699769,18.208593210783558,0.024863499039396858,False
394,ZTF_r,P48,58709.2565972,18.011614583300055,0.021427842126281727,False
395,ZTF_i,P48,58710.23270830001,17.839829607992858,0.028434254131101844,False
396,ZTF_g,P48,58711.1488079,18.162109472675308,0.023764996586064967,False
397,ZTF_g,P48,58711.2210532,18.209124647261707,0.02527571787538429,False
398,ZTF_g,P48,58711.2402199,18.255313763433023,0.028453503355408413,False
399,ZTF_r,P48,58711.2843171,18.09032715080475,0.02860550316889153,False
400,ZTF_r,P48,58711.31094909999,18.05682519870488,0.03133551713606463,False
401,ZTF_g,P48,58712.1475463,18.228525487755185,0.02008361578494507,False
402,ZTF_g,P48,58712.17310190001,18.23365926007702,0.022809639679027303,False
403,ZTF_g,P48,58712.1903935,18.197427203851603,0.028143919272497136,False
404,ZTF_g,P48,58713.2279167,18.54421026445316,0.1858858668655506,False
405,ZTF_r,P48,58713.23614580001,18.034161315449808,0.039442541930817664,False
406,ZTF_r,P48,58714.1457407,18.022905739280922,0.014726864295723662,False
407,ZTF_g,P48,58714.149838,18.232283715513546,0.018527958180898824,False
408,ZTF_g,P48,58716.18550930001,18.260941563433413,0.012346464291043404,False
409,ZTF_g,P48,58716.2646412,18.26448894010989,0.029916455838619932,False
410,ZTF_g,P48,58718.1508796,18.30347702387196,0.015047045369807385,False
411,ZTF_g,P48,58718.1743981,18.255367305765915,0.012024132971286813,False
412,ZTF_g,P48,58718.1753241,18.25984168804148,0.012604616560784362,False
413,ZTF_g,P48,58718.2672106,18.25270360762203,0.013628143830951529,False
414,ZTF_i,P48,58719.163125,17.95248608257786,0.018516227269980846,False
415,ZTF_r,P48,58724.1643287,18.139284955046076,0.012170260600833838,False
416,ZTF_g,P48,58724.1846528,18.380119852390187,0.012733548113581829,False
417,ZTF_g,P48,58725.16570599999,18.37278373293532,0.02428215173289176,False
418,ZTF_g,P48,58725.1723264,18.394129738381885,0.02077500589146137,False
419,ZTF_i,P48,58725.2294097,17.933836300244163,0.01847837922974278,False
420,ZTF_r,P48,58725.2375347,18.170827084284124,0.015596417319993398,False
421,ZTF_g,P48,58727.14925930001,18.41244317692146,0.01689081785634039,False
422,ZTF_g,P48,58727.15107640001,18.34618251125572,0.013720961631332294,False
423,ZTF_g,P48,58727.1702778,18.42332804466498,0.015268573055214072,False
424,ZTF_g,P48,58728.1513079,18.45031258038176,0.015508298225878634,False
425,ZTF_r,P48,58728.205162,18.147434420498275,0.01563142567466809,False
426,ZTF_r,P48,58728.2348495,18.30198133629253,0.02212874094102502,False
427,ZTF_g,P48,58729.13332180001,18.489944288114568,0.07990531903251312,False
428,ZTF_g,P48,58732.1433449,18.433676862346708,0.0226838556891629,False
429,ZTF_g,P48,58732.1479745,18.49987721099168,0.024846080484170963,False
430,ZTF_g,P48,58732.1691435,18.50070181355923,0.0251496103473256,False
431,ZTF_r,P48,58732.2116898,18.233838942591255,0.02795797485102115,False
432,ZTF_i,P48,58733.1451736,18.040042567219924,0.020385713606622877,False
433,ZTF_g,P48,58733.1693519,18.472654589806307,0.026595289905800387,False
434,ZTF_g,P48,58733.2087037,18.498621559521002,0.03056473732938312,False
435,ZTF_r,P48,58733.24802080001,18.279848959494586,0.029432487330902837,False
436,ZTF_r,P48,58734.1445949,18.298699253247946,0.02396894143490113,False
437,ZTF_g,P48,58734.1862153,18.51755884370608,0.039496678429145116,False
438,ZTF_g,P48,58734.1871296,18.583919238876994,0.043257847162193705,False
439,ZTF_g,P48,58734.208588,18.51066993818953,0.038601699087690906,False
440,ZTF_g,P48,58737.129456,18.59268782447495,0.0456934978461854,False
441,ZTF_g,P48,58737.1303819,18.55895467305013,0.03929133273377742,False
442,ZTF_r,P48,58737.1868287,18.33229658833826,0.03662251770340421,False
443,ZTF_g,P48,58738.1211806,18.575284135254226,0.05789299498908922,False
444,ZTF_g,P48,58738.1336574,18.518820060057326,0.040748263919380884,False
445,ZTF_g,P48,58739.1212269,18.557456564321694,0.05241865744378097,False
446,ZTF_g,P48,58740.1215972,18.543762857722317,0.04851515164601421,False
447,ZTF_g,P48,58740.1226273,18.480731253343304,0.041602287307081626,False
448,ZTF_g,P48,58740.145706,18.528886100875113,0.047263077501871725,False
449,ZTF_r,P48,58740.2630787,18.33173167753731,0.06597185692087199,False
450,ZTF_r,P48,58740.26398150001,18.40037895862598,0.07574846562518983,False
451,ZTF_g,P48,58741.1218519,18.572627473927973,0.034689907424642195,False
452,ZTF_g,P48,58741.13020830001,18.54117996719655,0.03530461241763225,False
453,ZTF_r,P48,58742.12045140001,18.207026041552854,0.04171217156164438,False
454,ZTF_g,P48,58742.1456829,18.597996223510545,0.047371779432432405,False
455,ZTF_g,P48,58743.12045140001,18.58154665928304,0.02612680060214563,False
456,ZTF_g,P48,58743.1219097,18.55653664076129,0.02383982357777321,False
457,ZTF_g,P48,58743.1448727,18.59861300037477,0.02163195974065045,False
458,ZTF_g,P48,58745.1319097,18.629869271779192,0.019199432137380918,False
459,ZTF_i,P48,58747.1125694,18.112500348135235,0.057263663649753174,False
460,ZTF_g,P48,58747.13054400001,18.637832475965624,0.021920366200402774,False
461,ZTF_g,P48,58750.1359606,18.634461301755625,0.031101143211991908,False
462,ZTF_i,P48,58751.1200347,18.194474903586173,0.03260630043121352,False
463,ZTF_g,P48,58758.1289468,18.733434155699275,0.02818858207569432,False
464,ZTF_r,P48,58761.1200116,18.504679444139775,0.02576815327031224,False
465,ZTF_g,P48,58764.1999769,18.664178817517023,0.0680908337030638,False
466,ZTF_g,P48,58771.11017359999,18.715641298981932,0.05737529981443783,False
467,ZTF_r,P48,58775.1026042,18.500324948971528,0.024026943106574057,False
468,ZTF_g,P48,58775.1121528,18.740106821948363,0.02823773746121112,False
469,ZTF_g,P48,58778.1221644,18.803199413395323,0.04081404185288838,False
470,ZTF_r,P48,58781.09067130001,18.65630120327832,0.07511794367961884,False
471,ZTF_g,P48,58781.11216440001,18.852043731070058,0.06827020394823652,False
472,ZTF_g,P48,58785.11501159999,18.756489347543628,0.039355672317805464,False
473,ZTF_g,P48,58789.1253241,18.90084746297933,0.08875403594318168,False
474,ZTF_r,P48,58792.1100694,18.53949879875832,0.05898715261711019,False
475,ZTF_r,P48,58795.0777431,18.52404174556704,0.0512157777492278,False
476,ZTF_g,P48,58795.10979169999,18.768321792828655,0.08638680754655913,False
477,ZTF_g,P48,58798.0992477,18.875447414967887,0.12758031027809058,False
478,ZTF_i,P48,58953.4600694,18.545392149671766,0.04512677254797592,False
479,ZTF_i,P48,58962.433287,18.58722874652998,0.037719395530502985,False
480,ZTF_i,P48,58966.4845023,18.522021089230858,0.02474299801557097,False
481,ZTF_i,P48,58971.4614815,18.663953386929453,0.03113540120820792,False
482,ZTF_i,P48,58976.4196528,18.618897937498527,0.06205133920723563,False
483,ZTF_i,P48,58980.37601849999,18.64072685406163,0.0419102179860371,False
484,ZTF_i,P48,58986.333912,18.585529538907167,0.02578095048876364,False
485,ZTF_i,P48,58991.3358681,18.621297680554093,0.037699938522616536,False
486,ZTF_i,P48,58997.3164583,18.620035750016367,0.03015673976689765,False
487,ZTF_r,P48,59000.3339931,19.44227349058869,0.0850188241313076,False
488,ZTF_r,P48,59001.2934028,19.285004143590978,0.01729998841027407,False
489,ZTF_i,P48,59001.3316898,18.63275209799489,0.03262574211935032,False
490,ZTF_i,P48,59009.3165394,18.749417056029145,0.05263713670381509,False
491,ZTF_i,P48,59015.372581,18.790816907709857,0.030927698882911067,False
492,ZTF_i,P48,59019.2974074,18.86868383452991,0.036382410118399634,False
493,ZTF_i,P48,59024.31988430001,18.746411096740648,0.04478775632319728,False
494,ZTF_i,P48,59028.31464119999,18.824902831465444,0.040324946765411054,False
495,ZTF_i,P48,59032.2722222,18.831262208835106,0.043184026516897865,False
496,ZTF_i,P48,59036.3256829,18.84744898059563,0.05583333952493441,False
497,ZTF_i,P48,59041.17126159999,18.864295834253728,0.048597391307950634,False
498,ZTF_i,P48,59045.3078241,18.87013575346248,0.03828057477721911,False
499,ZTF_i,P48,59049.26747690001,18.824403939825853,0.028250808500898613,False
500,ZTF_i,P48,59053.2529051,18.853933876170146,0.032071289715664884,False
501,ZTF_i,P48,59059.2527315,19.024644342021038,0.05905378844141629,False
502,ZTF_i,P48,59063.2108102,18.957072562188802,0.05655721414115681,False
503,ZTF_i,P48,59067.23210650001,19.027857536641047,0.05138166316959408,False
504,ZTF_i,P48,59072.2597917,18.896845032409026,0.03957003889993211,False
505,ZTF_i,P48,59076.2272917,18.889947098655213,0.03952234608849746,False
506,ZTF_i,P48,59080.2476852,19.04905551011669,0.052897916115343765,False
507,ZTF_i,P48,59084.2153472,19.060012470239137,0.06511768522358068,False
508,ZTF_i,P48,59088.1908796,18.974774793593443,0.06528876771637546,False
509,ZTF_i,P48,59093.2382407,19.062410954586735,0.074942093462,False
510,ZTF_i,P48,59096.2272454,19.02906490168308,0.03927557179735567,False
511,ZTF_i,P48,59096.2435417,19.045842116167528,0.044072397521271546,False
512,ZTF_g,P48,59097.1962963,20.03415335929482,0.14724763411739608,False
513,ZTF_i,P48,59097.2121875,19.048091334831284,0.0447597315573738,False
514,ZTF_i,P48,59097.22716440001,18.959691657874707,0.07049491327183012,False
515,ZTF_i,P48,59097.2479745,19.16375523181621,0.07221869549571265,False
516,ZTF_r,P48,59098.1570602,19.59722101487472,0.050783127041506976,False
517,ZTF_i,P48,59098.24688659999,19.01230176955212,0.05328125101877966,False
518,ZTF_i,P48,59098.2730324,19.087770769181873,0.057494889198971014,False
519,ZTF_r,P48,59099.13197919999,19.577019304360267,0.05097038386675995,False
520,ZTF_g,P48,59099.1653356,19.863169110962318,0.0577253183283117,False
521,ZTF_i,P48,59099.24427080001,19.06031874834069,0.04976438049425248,False
522,ZTF_i,P48,59099.289375,19.264297221657518,0.10520339635988146,False
523,ZTF_i,P48,59106.14366900001,18.928035310296032,0.10549868504192653,False
524,ZTF_i,P48,59106.1599421,19.051796768711206,0.06760316389653011,False
525,ZTF_g,P48,59106.18451390001,20.11447271078729,0.17539418617999794,False
526,ZTF_r,P48,59106.1992708,19.773584421775123,0.14776993245543146,False
527,ZTF_r,P48,59107.1462847,19.642800176054767,0.1132067589135431,False
528,ZTF_g,P48,59107.17607640001,20.05200763941567,0.19646573624284366,False
529,ZTF_i,P48,59107.2061574,19.144372941131078,0.06906349333558827,False
530,ZTF_i,P48,59107.2189005,19.15312524171572,0.07306640104343724,False
531,ZTF_r,P48,59107.2593866,19.219158987968108,0.14536332308279448,False
532,ZTF_i,P48,59109.1171528,19.206622092846157,0.06257206506193633,False
533,ZTF_r,P48,59109.1622454,19.77840020630797,0.08415399346160725,False
534,ZTF_r,P48,59109.1683681,19.773678529363888,0.0912374093580818,False
535,ZTF_g,P48,59109.2026736,20.00729047463576,0.11386859613212127,False
536,ZTF_g,P48,59109.2111574,19.922428881692763,0.09790419355380887,False
537,ZTF_i,P48,59109.2688542,19.13459275549173,0.07171459510947187,False
538,ZTF_g,P48,59110.14986109999,19.934114720073143,0.07514796266291082,False
539,ZTF_i,P48,59110.182338,19.303675481184193,0.07775053312313644,False
540,ZTF_i,P48,59110.18326390001,19.178352515721226,0.046981871373113215,False
541,ZTF_i,P48,59110.20210650001,19.179433040411734,0.07146660481548323,False
542,ZTF_r,P48,58612.4221,19.8866329193115,0.18479187786579102,True
543,ZTF_r,P48,58873.5351,18.7113246917725,0.0918914154171944,True
544,ZTF_g,P48,58876.5363,18.8816738128662,0.12504330277442902,True
545,ZTF_r,P48,58876.5746,18.7149257659912,0.0989891439676285,True
546,ZTF_g,P48,58885.4668,18.900320053100604,0.21621695160865803,True
547,ZTF_r,P48,58885.5435,18.700735092163104,0.12035059928894,True
548,ZTF_g,P48,58891.4747,18.9123802185059,0.17054438591003399,True
549,ZTF_r,P48,58894.5409,18.6067943572998,0.0767861753702164,True
550,ZTF_g,P48,58894.5593,18.8210334777832,0.128280073404312,True
551,ZTF_r,P48,58898.5238,18.6216602325439,0.0785476490855217,True
552,ZTF_g,P48,58898.5617,18.904718399047898,0.105439603328705,True
553,ZTF_r,P48,58904.5242,18.6890182495117,0.10175076127052302,True
554,ZTF_g,P48,58904.5525,18.8772258758545,0.128000721335411,True
555,ZTF_r,P48,58908.5139,18.668958663940398,0.08256169408559799,True
556,ZTF_r,P48,58911.5038,18.7776470184326,0.101841039955616,True
557,ZTF_g,P48,58911.5374,18.9522438049316,0.115087881684303,True
558,ZTF_g,P48,58914.4641,18.9208030700684,0.11340946704149199,True
559,ZTF_r,P48,58914.53599999999,18.748357772827102,0.0832100957632065,True
560,ZTF_g,P48,58936.4984,19.0855922698975,0.12088655680417999,True
561,ZTF_r,P48,58936.507000000005,18.7878437042236,0.104847818613052,True
562,ZTF_g,P48,58943.4437,19.116340637207,0.15573665499687198,True
563,ZTF_r,P48,58943.4815,18.824752807617198,0.0989800319075584,True
564,ZTF_r,P48,58953.4565,18.8984775543213,0.0957110077142715,True
565,ZTF_g,P48,58954.4326,19.1530132293701,0.13044685125351,True
566,ZTF_r,P48,58956.4855,19.3025531768799,0.210133537650108,True
567,ZTF_r,P48,58961.458,18.902898788452102,0.101044021546841,True
568,ZTF_g,P48,58964.3825,19.207574844360398,0.10416955500841099,True
569,ZTF_r,P48,58964.4227,18.9581909179688,0.0846342742443085,True
570,ZTF_r,P48,58967.3831,18.9826507568359,0.103134587407112,True
571,ZTF_g,P48,58967.4363,19.291057586669897,0.15515953302383403,True
572,ZTF_r,P48,58970.4143,19.060546875,0.100534006953239,True
573,ZTF_g,P48,58970.4645,19.303665161132802,0.10941117256879801,True
574,ZTF_r,P48,58973.35400000001,18.958194732665998,0.11375456303358099,True
575,ZTF_g,P48,58973.4642,19.2997360229492,0.111958838999271,True
576,ZTF_r,P48,58980.3144,19.050973892211896,0.12110563367605198,True
577,ZTF_g,P48,58980.3986,19.3022155761719,0.17961493134498605,True
578,ZTF_r,P48,58984.4021,19.095302581787102,0.0935854688286781,True
579,ZTF_r,P48,58985.3781,19.055046081543,0.10991893708705901,True
580,ZTF_g,P48,58985.4211,19.4013423919678,0.132178291678429,True
581,ZTF_r,P48,58986.2952,19.080064773559602,0.0923940017819405,True
582,ZTF_g,P48,58986.3967,19.3045387268066,0.0849539488554001,True
583,ZTF_r,P48,58987.3315,19.096660614013697,0.0889563634991646,True
584,ZTF_g,P48,58987.43,19.3952674865723,0.11349444836378099,True
585,ZTF_r,P48,58991.2731,19.0154914855957,0.10005205869674699,True
586,ZTF_g,P48,58991.3187,19.328716278076197,0.10843363404274,True
587,ZTF_r,P48,58992.294,19.02659034729,0.0831283181905746,True
588,ZTF_g,P48,58992.333,19.3431358337402,0.118590399622917,True
589,ZTF_g,P48,58994.415,19.32004737854,0.109813064336777,True
590,ZTF_r,P48,58995.2751,19.0770568847656,0.0810117945075035,True
591,ZTF_g,P48,58995.3201,19.3701286315918,0.11407463252544399,True
592,ZTF_r,P48,58996.3103,19.135763168335,0.0894322246313095,True
593,ZTF_r,P48,58997.2986,19.156343460083,0.0845895782113075,True
594,ZTF_g,P48,58997.3831,19.433383941650398,0.0927578955888748,True
595,ZTF_g,P48,58998.3626,19.3417720794678,0.100830979645252,True
596,ZTF_r,P48,58999.3367,19.120502471923803,0.112032152712345,True
597,ZTF_g,P48,58999.401,19.378023147583,0.142107710242271,True
598,ZTF_r,P48,59000.3943,19.0990676879883,0.109775111079216,True
599,ZTF_g,P48,59001.3932,19.348459243774396,0.144902929663658,True
600,ZTF_g,P48,59004.2213,19.236608505249,0.21266837418079398,True
601,ZTF_r,P48,59004.2875,19.1481094360352,0.13188144564628598,True
602,ZTF_r,P48,59009.3622,19.212957382202102,0.157337591052055,True
603,ZTF_g,P48,59012.3125,19.445821762085,0.104352012276649,True
604,ZTF_g,P48,59015.3097,19.5540142059326,0.138564169406891,True
605,ZTF_r,P48,59015.3176,19.140447616577102,0.118300549685955,True
606,ZTF_g,P48,59018.3389,19.533756256103498,0.126545205712318,True
607,ZTF_r,P48,59024.2424,19.1614608764648,0.0886774212121964,True
608,ZTF_g,P48,59027.2364,19.546596527099602,0.158100605010986,True
609,ZTF_r,P48,59027.2882,19.174137115478498,0.0950064957141876,True
610,ZTF_g,P48,59030.3505,19.559944152832,0.190661877393723,True
611,ZTF_r,P48,59033.3323,19.3550186157227,0.18919076025486,True
612,ZTF_r,P48,59036.2763,19.275197982788104,0.11707903444767,True
613,ZTF_g,P48,59039.1912,19.5324020385742,0.11950272321701,True
614,ZTF_r,P48,59039.2342,19.3281230926514,0.0961950346827507,True
615,ZTF_r,P48,59039.3095,19.289621353149396,0.104557558894157,True
616,ZTF_r,P48,59042.2493,19.204544067382802,0.110428869724274,True
617,ZTF_g,P48,59042.3013,19.5571899414062,0.128258243203163,True
618,ZTF_r,P48,59045.2293,19.222843170165998,0.10296007245779,True
619,ZTF_g,P48,59045.2615,19.508840560913104,0.128897652029991,True
620,ZTF_r,P48,59048.2474,19.2994556427002,0.10924643278121901,True
621,ZTF_g,P48,59051.3122,19.5558834075928,0.11522863060236,True
622,ZTF_g,P48,59054.2899,19.580865859985398,0.131432041525841,True
623,ZTF_r,P48,59054.3521,19.2404556274414,0.101610980927944,True
624,ZTF_g,P48,59057.2695,19.647630691528303,0.13689923286438002,True
625,ZTF_r,P48,59057.3328,19.330980300903303,0.12024752795696302,True
626,ZTF_r,P48,59063.1874,19.360149383544897,0.169910952448845,True
627,ZTF_r,P48,59066.2383,19.4079189300537,0.16224294900894198,True
628,ZTF_g,P48,59069.177,19.734333038330103,0.141685709357262,True
629,ZTF_r,P48,59069.2167,19.545827865600604,0.0999933034181595,True
630,ZTF_r,P48,59072.1926,19.3169097900391,0.13579811155796098,True
631,ZTF_g,P48,59072.2274,19.6127700805664,0.139196440577507,True
632,ZTF_g,P48,59075.193,19.657146453857397,0.173046007752419,True
633,ZTF_r,P48,59075.2159,19.422927856445302,0.11426343023777001,True
634,ZTF_r,P48,59078.1848,19.5408020019531,0.13210389018058802,True
635,ZTF_g,P48,59078.2081,19.7304058074951,0.157952383160591,True
636,ZTF_r,P48,59081.2038,19.3965091705322,0.14390657842159302,True
637,ZTF_g,P48,59081.2347,19.6993637084961,0.169093802571297,True
638,ZTF_r,P48,59095.1549,19.570629119873,0.15443317592143999,True
639,ZTF_r,P48,59098.1561,19.695499420165998,0.159754723310471,True
640,ZTF_g,P48,59098.2004,19.701702117919897,0.20216271281242396,True
641,ZTF_r,P48,59099.1329,19.708568572998,0.143978655338287,True
642,ZTF_g,P48,59099.1663,19.866750717163104,0.16976423561573004,True
