sigma,sigma.err,ampl,ampl.err,fval,chi2,chi2dof,filename,humidity,filter,obsmjd,ccdid,amp_id,gain,readnoi,darkcur,magzp,magzpunc,magzprms,clrcoeff,clrcounc,zpclrcov,zpmed,zpavg,zprmsall,clrmed,clravg,clrrms,qid,rcid,seeing,maglim,status,filterid,fieldid,moonalt,moonillf,target_x,target_y,data_hasnan
7.322297029500314,0.2044385972667064,381.08782652237454,37.02949611144296,4262.267623265134,623.7890625,1.0012665529695024,ztf_20200914143322_000634_zi_c10_o.fits,23.0,ZTF_i,59106.143669,10,3,6.4,9.5,1.0,25.380598,2.5181e-06,0.03842,0.198168,2.02832e-05,-5.79e-06,25.429001,25.437185,0.056119,0.211,0.286,0.206419,4,39,2.822,19.65,1,3,634,-31.895,-0.146947,1900.513867115172,1083.8263178180523,False
8.187120009326955,0.225839565362846,1340.6870151466971,32.47125662594643,4402.024140912807,625.1480712890625,1.0034479474944824,ztf_20190613369537_000634_zg_c10_o.fits,57.0,ZTF_g,58647.3695602,10,3,6.2,10.0,1.0,26.216047,3.0898e-06,0.028877,-0.059329,7.1603e-06,-4.31e-06,26.184,26.180327,0.032816,0.511,0.602,0.262742,4,39,1.993,20.83,1,1,634,14.8767,0.825816,1895.3924791379336,820.0560404483647,False
10.065706887357495,0.27890177307802233,675.8894888270223,42.0841339587847,4660.099106063618,623.8271484375,1.0013276860955056,ztf_20200914159942_000634_zi_c10_o.fits,24.0,ZTF_i,59106.1599421,10,3,6.4,9.5,1.0,26.126486,9.135e-07,0.023262,0.198342,7.3509e-06,-2.1e-06,26.173,26.183135,0.047126,0.211,0.286,0.206637,4,39,2.165,20.32,1,3,634,-33.5727,-0.145609,1886.7523153549303,1071.4088497456,False
4.331640041171026,0.06856104842361328,1221.1199574850657,18.996985186518476,3605.914235398247,624.809326171875,1.0029042153641654,ztf_20190901149248_000634_zg_c10_o.fits,36.0,ZTF_g,58727.1492593,10,3,6.2,10.0,1.0,26.129339,2.2584e-06,0.025032,-0.025622,5.1168e-06,-3.11e-06,26.118,26.113754,0.025951,0.514,0.608,0.267216,4,39,2.254,21.4,1,1,634,-1.22573,0.0443534,1902.4975596176394,799.2112370215158,False
5.094942643710559,0.14592542567061487,1717.0879804780961,19.361151199659645,3809.007234963095,623.971435546875,1.0015592865920948,ztf_20190727191134_000634_zr_c10_o.fits,47.0,ZTF_r,58691.1911343,10,3,6.2,10.0,1.0,26.168809,1.3907e-06,0.019697,0.103764,3.0994e-06,-1.9e-06,26.225,26.232442,0.034201,0.518,0.613,0.269456,4,39,1.817,21.45,1,2,634,-38.097,-0.291187,1896.7435534133137,799.33921456114,False
5.821429258259126,0.16376990084005374,1650.4812504486306,19.59417736405738,3975.6502788369835,623.9713134765625,1.0015590906525882,ztf_20190730208727_000634_zr_c10_o.fits,2.0,ZTF_r,58694.2087269,10,3,6.2,10.0,1.0,26.122193,1.7251e-06,0.021783,0.09436,3.8623e-06,-2.36e-06,26.174999,26.179951,0.033396,0.515,0.612,0.268274,4,39,1.376,21.5,1,2,634,-33.199,-0.0527155,1900.6074672336324,792.7486917347916,False
9.062435537762724,0.26500607568190127,1317.7915892865456,34.07968244265627,4528.908326541543,623.9189453125,1.0014750326043338,ztf_20190613216366_000634_zg_c10_o.fits,47.0,ZTF_g,58647.2163773,10,3,6.2,10.0,1.0,26.169452,3.3645e-06,0.029482,-0.039325,8.06e-06,-4.78e-06,26.149,26.146108,0.031142,0.505,0.594,0.255037,4,39,1.796,20.72,1,1,634,47.5206,0.812713,1907.2723168131195,821.0656974408216,False
6.2686730429038064,0.17965367207334318,1499.0663756648717,23.590702452667433,4068.152977065307,623.9405517578125,1.0015097138969704,ztf_20190721168889_000634_zg_c10_o.fits,37.0,ZTF_g,58685.1688889,10,3,6.2,10.0,1.0,26.196893,2.3329e-06,0.02531,-0.056463,5.2673e-06,-3.21e-06,26.1675,26.162461,0.029447,0.515,0.61,0.266536,4,39,1.727,21.21,1,1,634,-19.2369,-0.840893,1904.5400110949597,815.0266952550434,False
7.116653702194074,0.19707711272870135,1638.396966755675,32.41916360541552,4226.728374377308,623.8846435546875,1.0014199736030296,ztf_20190710211123_000634_zr_c10_o.fits,29.0,ZTF_r,58674.2112037,10,3,6.2,10.0,1.0,26.207446,2.3135e-06,0.025236,0.111463,5.1467e-06,-3.16e-06,26.268999,26.275907,0.039177,0.518,0.614,0.268843,4,39,2.495,20.76,1,2,634,35.0941,0.586134,1909.8358104739757,810.2752020055351,False
12.262381775941046,0.3541493219333242,1476.432536954893,50.18106140392589,4906.923574485543,623.843017578125,1.0013531582313402,ztf_20190717190660_000634_zg_c10_o.fits,13.0,ZTF_g,58681.1906944,10,3,6.2,10.0,1.0,26.215995,4.6202e-06,0.032341,-0.032919,1.23484e-05,-6.97e-06,26.198,26.19741,0.033256,0.488,0.565,0.235441,4,39,1.976,20.32,1,1,634,14.2845,-0.999238,1898.33826788765,797.495176928273,False
9.734967987594874,0.2727140675885566,1053.0448540990528,44.31767338593035,4618.234876595445,623.753173828125,1.0012089467546148,ztf_20190911129444_000634_zg_c10_o.fits,78.0,ZTF_g,58737.129456,10,3,6.2,10.0,1.0,26.148805,4.8133e-06,0.033071,-0.014118,1.27189e-05,-7.23e-06,26.142,26.140784,0.033238,0.49,0.568,0.235917,4,39,2.355,20.35,1,1,634,25.4791,0.918798,1896.2859774139408,825.5266075589257,False
11.094108151649955,0.3118579114027272,932.33682759466,33.72648147667433,4781.688340237581,623.7965698242188,1.0012786032491472,ztf_20200904227245_000634_zi_c10_o.fits,33.0,ZTF_i,59096.2272454,10,3,6.4,9.5,1.0,26.452997,1.0539e-06,0.025035,0.191426,8.517e-06,-2.43e-06,26.497999,26.507545,0.046748,0.211,0.285,0.20624,4,39,1.39,20.98,1,3,634,24.2484,-0.962466,1876.9216319909553,1027.2820009251745,False
6.904524616935588,0.19315205623632875,1170.817987060599,24.333804175479976,4188.749814673423,623.7455444335938,1.0011967005354634,ztf_20190808163634_000634_zi_c10_o.fits,39.0,ZTF_i,58703.163669,10,3,6.2,10.0,1.0,25.578034,7.391e-07,0.020946,0.194298,6.0066e-06,-1.71e-06,25.622999,25.633279,0.045075,0.207,0.284,0.205421,4,39,1.705,20.5,1,3,634,34.7621,0.548716,1896.0480388586893,798.6550348087852,False
5.245532336791305,0.1458519196192058,1481.590258317368,25.28315978458983,3845.4568467814042,623.969482421875,1.001556151559992,ztf_20190819149769_000634_zg_c10_o.fits,34.0,ZTF_g,58714.149838,10,3,6.2,10.0,1.0,26.159104,3.1571e-06,0.029121,-0.01696,7.2882e-06,-4.4e-06,26.150999,26.148869,0.029459,0.512,0.603,0.262701,4,39,2.58,21.0,1,1,634,-12.9134,-0.885196,1917.5562577793075,817.7060185895419,False
5.730888466770947,0.16213611305777945,592.8686000594208,17.51259701810829,3956.1050082549414,624.021728515625,1.00164001366874,ztf_20200723252905_000634_zi_c10_o.fits,5.0,ZTF_i,59053.2529051,10,3,6.4,9.5,1.0,25.78633,1.2275e-06,0.02658,0.18866,1.03417e-05,-2.91e-06,25.832001,25.839387,0.046001,0.207,0.281,0.199006,4,39,1.295,21.32,1,3,634,-15.0845,0.081394,1922.2983358054491,804.4206961267707,False
12.812660378493582,0.3644233956789158,-44.323838525869206,50.57730802757105,4961.703254954417,623.7904663085938,1.0012688062738262,ztf_20180924190567_000634_zr_c10_o.fits,24.0,ZTF_r,58385.1905787,10,3,6.2,10.0,1.0,26.219028,2.3548e-06,0.025689,0.09934,5.2841e-06,-3.23e-06,26.274,26.279705,0.037095,0.512,0.611,0.269383,4,39,1.965,20.3,1,2,634,35.1241,0.991684,1769.9979993567554,672.5605257975737,False
5.940554902966647,0.16125164764493047,37.21526831862595,23.236179238073543,4000.921884631972,623.921142578125,1.0014785595154494,ztf_20180620245891_000634_zr_c10_o.fits,34.0,ZTF_r,58289.2459375,10,3,6.2,10.0,1.0,26.255211,1.6472e-06,0.021359,0.104298,3.6873e-06,-2.26e-06,26.312,26.319073,0.035176,0.517,0.612,0.267971,4,39,1.824,21.27,1,2,634,25.2744,0.479827,1788.6480182290718,818.955013694938,False
13.036537948167158,0.3625576602499856,997.4494162455609,54.19060409757477,4983.363951215469,623.7645263671875,1.0012271691287118,ztf_20191105110035_000634_zr_c10_o.fits,19.0,ZTF_r,58792.1100694,10,3,6.4,9.5,1.0,26.036726,3.7275e-06,0.032018,0.114288,8.3757e-06,-5.12e-06,26.1,26.106573,0.044266,0.515,0.611,0.267459,4,39,2.219,20.09,1,2,634,37.9091,0.567232,1845.3514840410805,797.825061622591,False
9.820314629370568,0.2818278101631485,1618.2037816277636,39.01022820792127,4629.204922729429,623.7905883789062,1.0012690022133326,ztf_20190813172870_000634_zg_c10_o.fits,22.0,ZTF_g,58708.1728819,10,3,6.2,10.0,1.0,26.167354,4.2903e-06,0.032311,-0.013108,1.08695e-05,-6.29e-06,26.16,26.159773,0.032471,0.494,0.578,0.245243,4,39,2.01,20.55,1,1,634,27.1708,0.949901,1901.6764869668764,809.6430769967906,False
5.5221735147663775,0.1578676083204872,802.7899059254325,17.070508460650377,3909.6556633486925,623.9227905273438,1.0014812046987862,ztf_20190606298021_000634_zi_c10_o.fits,32.0,ZTF_i,58640.2980208,10,3,6.2,10.0,1.0,25.618459,1.0775e-06,0.025269,0.193641,8.7542e-06,-2.49e-06,25.665001,25.673609,0.047033,0.208,0.285,0.204857,4,39,1.404,21.02,1,3,634,-18.0681,0.104047,1884.825655711376,759.3738780255803,False
4.677849152080536,0.13057504088636765,-1.5767873154917116,17.364114267522883,3702.292526857118,624.0613403320312,1.0017035960385734,ztf_20180928130394_000634_zg_c10_o.fits,33.0,ZTF_g,58389.1303935,10,3,6.2,10.0,1.0,26.199096,1.9345e-06,0.023434,-0.08244,4.3252e-06,-2.65e-06,26.155001,26.148679,0.032359,0.512,0.612,0.270678,4,39,1.863,21.64,1,1,634,-6.06881,-0.905058,1817.9544659441751,678.7209610815104,False
7.118744292370841,0.1999208174291103,419.7939853703353,25.177398042474373,4227.096141281542,623.874755859375,1.0014041025030096,ztf_20200823215347_000634_zi_c10_o.fits,75.0,ZTF_i,59084.2153472,10,3,6.4,9.5,1.0,25.617603,7.425e-07,0.020857,0.196646,6.0881e-06,-1.73e-06,25.664,25.673499,0.045017,0.208,0.284,0.202874,4,39,1.787,20.53,1,3,634,-1.16829,0.222662,1924.5977900007774,758.1114270744563,False
6.8671329637731615,0.19211722489188343,40.32219102891381,26.554235801260756,4182.0819610443705,623.876953125,1.0014076294141252,ztf_20180916207002_000634_zg_c10_o.fits,12.0,ZTF_g,58377.2070139,10,3,6.2,10.0,1.0,26.160317,2.423e-06,0.026135,-0.044018,5.4815e-06,-3.33e-06,26.136999,26.13355,0.028688,0.512,0.608,0.268767,4,39,1.855,21.11,1,1,634,12.748,0.42719,1806.2012657421776,756.8341933912378,False
64.77418971502462,1.7845352189349295,356.16816016838,203.4003497965926,6987.41025636708,623.7190551757812,1.0011541816625702,ztf_20200605364850_000634_zi_c10_o.fits,1.0,ZTF_i,59005.3648843,10,3,6.4,9.5,1.0,24.121989,0.0006081013,0.16451,0.216123,0.004552718,-0.00134662,24.200001,24.185915,0.170927,0.219,0.296,0.214666,4,39,1.565,16.85,1,3,634,32.0598,0.997355,1911.7780532889294,781.551170052715,False
3.7494507454105057,0.10640734937379306,1480.2904871647422,14.38367948175609,3425.806455704206,624.1279296875,1.0018104810393258,ztf_20190722208530_000634_zg_c10_o.fits,28.0,ZTF_g,58686.2085648,10,3,6.2,10.0,1.0,26.175331,1.9143e-06,0.023099,-0.054166,4.2819e-06,-2.62e-06,26.146999,26.142191,0.027331,0.514,0.612,0.269712,4,39,1.682,21.89,1,1,634,-13.7705,-0.762801,1869.81819922455,801.010153710985,False
9.607672955089203,0.27575087851598634,1522.7811586815928,34.51799739386048,4601.87478006797,623.8283081054688,1.0013295475208166,ztf_20190813171921_000634_zg_c10_o.fits,22.0,ZTF_g,58708.171956,10,3,6.2,10.0,1.0,26.187557,3.5213e-06,0.030012,-0.039849,8.5847e-06,-5.05e-06,26.166,26.164107,0.031657,0.5,0.588,0.252778,4,39,1.688,20.72,1,1,634,27.0289,0.949874,1900.9295241347356,809.3790029257532,False
13.64059368891694,0.3874429298944868,-67.51406730646305,62.518130511839935,5040.120177084149,623.9022827148438,1.0014482868617074,ztf_20180402428333_000634_zg_c10_o.fits,29.0,ZTF g,58210.4283449,10,3,5.86836001975273,10.0,1.0,26.325,6.4383e-06,0.036046,-0.013495,1.7837e-05,-9.92e-06,26.246,26.245902,0.036176,0.483,0.556,0.227453,4,39,2.283,20.08,1,1,634,45.5129,-0.958115,1784.6095012144751,863.7624613992173,False
10.614722694316002,0.31162798837224764,81.75630248469324,53.64395302296001,4726.51846289013,623.8643798828125,1.0013874476449638,ztf_20181230571782_000634_zr_c10_o.fits,41.0,ZTF_r,58482.571956,10,3,6.2,10.0,1.0,26.202287,3.3878e-06,0.030596,0.104673,7.5185e-06,-4.63e-06,26.261,26.26668,0.041551,0.518,0.615,0.268584,4,39,2.78,20.03,1,2,634,49.0072,-0.37415,1792.0343795592507,857.7386225138521,False
8.49574069724406,0.23698364860411197,2.1493151458573445,34.91706177081068,4448.10584451399,623.8419799804688,1.0013514927455358,ztf_20180927143391_000634_zg_c10_o.fits,35.0,ZTF_g,58388.1434028,10,3,6.2,10.0,1.0,26.165828,3.718e-06,0.03103,-0.053435,9.1718e-06,-5.36e-06,26.138,26.13458,0.033821,0.493,0.585,0.251779,4,39,2.098,20.64,1,1,634,4.72745,-0.956812,1775.3530876594489,670.2641133416354,False
3.9579252629854107,0.11269879835877106,0.8673466541462789,16.636178775998783,3493.318461327499,623.9464111328125,1.0015191189932784,ztf_20180905211736_000634_zg_c10_o.fits,42.0,ZTF_g,58366.2117593,10,3,6.2,10.0,1.0,26.221527,2.029e-06,0.023848,-0.069812,4.5728e-06,-2.79e-06,26.184999,26.178952,0.030307,0.514,0.61,0.267895,4,39,2.072,21.7,1,1,634,-32.3163,-0.270433,1803.0779769193196,774.1903469183075,False
10.768212206622104,0.30104668310099014,6.45905046498777,38.68814085389215,4744.431853150609,623.8134765625,1.0013057408707866,ztf_20180926144560_000634_zr_c10_o.fits,33.0,ZTF_r,58387.1445718,10,3,6.2,10.0,1.0,26.248981,1.5043e-06,0.020492,0.095574,3.3661e-06,-2.06e-06,26.302,26.307432,0.032947,0.512,0.612,0.26994,4,39,1.748,20.7,1,2,634,11.8821,-0.988804,1763.027184302035,654.258488781848,False
4.599952503138793,0.12495134407580105,1377.4039720510002,16.67763004943344,3681.2464171045935,625.014892578125,1.0032341774929776,ztf_20190608278299_000634_zr_c10_o.fits,18.0,ZTF_r,58642.2783102,10,3,6.2,10.0,1.0,26.236962,1.3009e-06,0.019064,0.098952,2.8781e-06,-1.77e-06,26.292,26.297874,0.032847,0.518,0.616,0.270321,4,39,1.61,21.71,1,2,634,4.07236,0.281174,1892.366901939259,760.248060828886,False
5.219644973410895,0.14573991039677903,-12.091978996265674,20.904867650591317,3839.1327039969897,623.8349609375,1.0013402262239166,ztf_20190412402361_000634_zr_c10_o.fits,77.0,ZTF_r,58585.4023727,10,3,6.2,10.0,1.0,26.172077,1.4526e-06,0.019991,0.105526,3.2362e-06,-1.99e-06,26.23,26.236893,0.034596,0.518,0.614,0.267563,4,39,2.12,21.36,1,2,634,-11.2565,0.45671,1835.362206824117,872.7318610881055,False
6.106945035015548,0.17055859083423772,-1.8892971473561562,28.044471833767567,4035.4988263656255,623.9149780273438,1.0014686645703752,ztf_20180621234965_000634_zg_c10_o.fits,26.0,ZTF_g,58290.2349884,10,3,6.2,10.0,1.0,26.209761,2.9954e-06,0.028396,-0.020847,6.8822e-06,-4.16e-06,26.200001,26.197146,0.02892,0.513,0.605,0.26283,4,39,2.322,20.96,1,1,634,34.6595,0.587102,1788.008254164613,881.0274525292025,False
4.237644576251911,0.11841346265286137,4.61307473495057,18.69864000647372,3578.7147549661686,624.01416015625,1.0016278654193418,ztf_20190411450799_000634_zg_c10_o.fits,32.0,ZTF_g,58584.4508218,10,3,6.2,10.0,1.0,26.208997,2.4271e-06,0.025871,-0.067569,5.3869e-06,-3.31e-06,26.174999,26.167437,0.031609,0.518,0.615,0.268771,4,39,2.262,21.43,1,1,634,-28.8471,0.352733,1835.5323082051912,878.3124328808273,False
