,obsmjd,mag,mag_err,fid
12,58612.4221,19.886632919311523,0.18479187786579132,2
86,58642.3871,18.427915573120117,0.05932217836380005,1
127,58657.2155,18.306039810180664,0.07037296146154404,1
230,58734.1446,18.338333129882812,0.06549389660358429,2
313,58873.5351,18.71132469177246,0.09189141541719437,2
314,58876.5363,18.88167381286621,0.12504330277442932,1
315,58876.5746,18.71492576599121,0.09898914396762848,2
316,58885.4668,18.900320053100586,0.21621695160865784,1
317,58885.5435,18.700735092163086,0.12035059928894043,2
318,58891.4747,18.91238021850586,0.17054438591003418,1
319,58894.5409,18.606794357299805,0.07678617537021637,2
320,58894.5593,18.821033477783203,0.12828007340431213,1
321,58898.5238,18.621660232543945,0.0785476490855217,2
322,58898.5617,18.90471839904785,0.10543960332870483,1
323,58904.5242,18.68901824951172,0.10175076127052307,2
324,58904.5525,18.877225875854492,0.12800072133541107,1
325,58908.5139,18.66895866394043,0.08256169408559799,2
326,58911.5038,18.777647018432617,0.101841039955616,2
327,58911.5374,18.95224380493164,0.11508788168430328,1
328,58914.4641,18.92080307006836,0.11340946704149246,1
329,58914.536,18.74835777282715,0.08321009576320648,2
330,58936.4984,19.08559226989746,0.12088655680418015,1
331,58936.507,18.787843704223633,0.10484781861305237,2
332,58943.4437,19.11634063720703,0.15573665499687195,1
333,58943.4815,18.824752807617188,0.09898003190755844,2
334,58953.4565,18.89847755432129,0.09571100771427155,2
336,58954.4326,19.153013229370117,0.13044685125350952,1
337,58956.4855,19.302553176879883,0.21013353765010834,2
338,58961.458,18.90289878845215,0.10104402154684067,2
340,58964.3825,19.20757484436035,0.10416955500841141,1
341,58964.4227,18.95819091796875,0.08463427424430847,2
343,58967.3831,18.982650756835938,0.10313458740711212,2
344,58967.4363,19.291057586669922,0.15515953302383423,1
345,58970.4143,19.060546875,0.10053400695323944,2
346,58970.4645,19.303665161132812,0.10941117256879807,1
348,58973.354,18.958194732666016,0.11375456303358078,2
349,58973.4642,19.29973602294922,0.11195883899927139,1
351,58980.3144,19.050973892211914,0.1211056336760521,2
353,58980.3986,19.302215576171875,0.17961493134498596,1
354,58984.4021,19.09530258178711,0.09358546882867813,2
355,58985.3781,19.05504608154297,0.10991893708705902,2
356,58985.4211,19.401342391967773,0.13217829167842865,1
357,58986.2952,19.08006477355957,0.09239400178194046,2
359,58986.3967,19.30453872680664,0.08495394885540009,1
360,58987.3315,19.096660614013672,0.08895636349916458,2
361,58987.43,19.395267486572266,0.11349444836378098,1
362,58991.2731,19.015491485595703,0.10005205869674683,2
363,58991.3187,19.328716278076172,0.10843363404273987,1
365,58992.294,19.02659034729004,0.08312831819057465,2
366,58992.333,19.343135833740234,0.11859039962291718,1
367,58994.415,19.32004737854004,0.10981306433677673,1
368,58995.2751,19.077056884765625,0.08101179450750351,2
369,58995.3201,19.370128631591797,0.11407463252544403,1
370,58996.3103,19.13576316833496,0.08943222463130951,2
371,58997.2986,19.156343460083008,0.08458957821130753,2
373,58997.3831,19.43338394165039,0.09275789558887482,1
374,58998.3626,19.341772079467773,0.10083097964525223,1
375,58999.3367,19.120502471923828,0.11203215271234512,2
376,58999.401,19.378023147583008,0.14210771024227142,1
379,59000.3943,19.09906768798828,0.109775111079216,2
382,59001.3932,19.348459243774414,0.14490292966365814,1
383,59004.2213,19.236608505249023,0.21266837418079376,1
384,59004.2875,19.148109436035156,0.131881445646286,2
386,59009.3622,19.21295738220215,0.15733759105205536,2
387,59012.3125,19.44582176208496,0.10435201227664948,1
388,59015.3097,19.554014205932617,0.13856416940689087,1
389,59015.3176,19.14044761657715,0.11830054968595505,2
391,59018.3389,19.533756256103516,0.12654520571231842,1
392,59024.2424,19.161460876464844,0.08867742121219635,2
394,59027.2364,19.54659652709961,0.15810060501098633,1
395,59027.2882,19.174137115478516,0.09500649571418762,2
397,59030.3505,19.55994415283203,0.19066187739372253,1
399,59033.3323,19.355018615722656,0.18919076025485992,2
400,59036.2763,19.275197982788086,0.11707903444766998,2
402,59039.1912,19.53240203857422,0.1195027232170105,1
403,59039.2342,19.328123092651367,0.0961950346827507,2
404,59039.3095,19.289621353149414,0.10455755889415741,2
406,59042.2493,19.204544067382812,0.11042886972427368,2
407,59042.3013,19.55718994140625,0.12825824320316315,1
408,59045.2293,19.222843170166016,0.10296007245779037,2
409,59045.2615,19.508840560913086,0.12889765202999115,1
411,59048.2474,19.299455642700195,0.10924643278121948,2
413,59051.3122,19.555883407592773,0.11522863060235977,1
415,59054.2899,19.58086585998535,0.13143204152584076,1
416,59054.3521,19.240455627441406,0.10161098092794418,2
417,59057.2695,19.64763069152832,0.13689923286437988,1
418,59057.3328,19.33098030090332,0.12024752795696259,2
420,59063.1874,19.360149383544922,0.1699109524488449,2
422,59066.2383,19.40791893005371,0.16224294900894165,2
424,59069.177,19.734333038330078,0.14168570935726166,1
425,59069.2167,19.545827865600586,0.09999330341815948,2
426,59072.1926,19.316909790039062,0.1357981115579605,2
427,59072.2274,19.612770080566406,0.13919644057750702,1
429,59075.193,19.657146453857422,0.17304600775241852,1
430,59075.2159,19.422927856445312,0.11426343023777008,2
432,59078.1848,19.540802001953125,0.13210389018058777,2
433,59078.2081,19.730405807495117,0.15795238316059113,1
435,59081.2038,19.396509170532227,0.1439065784215927,2
436,59081.2347,19.699363708496094,0.1690938025712967,1
440,59095.1549,19.570629119873047,0.15443317592144012,2
441,59096.2272,19.104997634887695,0.09476806968450546,3
442,59096.2435,19.061786651611328,0.10622549057006836,3
461,58612.4221,19.886600494384766,0.18479199707508087,2
490,58612.4221,19.886600494384766,0.18479199707508087,2
597,58642.3871,18.427900314331055,0.05932199954986572,1
623,58642.3871,18.427900314331055,0.05932199954986572,1
680,58657.2155,18.305999755859375,0.07037299871444702,1
681,58657.2155,18.305999755859375,0.07037299871444702,1
811,58691.2266,18.275100708007812,0.06891199946403503,1
842,58734.1446,18.338300704956055,0.06549400091171265,2
901,58734.1446,18.338300704956055,0.06549400091171265,2
976,58851.5497,18.927000045776367,0.35288000106811523,1
977,58854.5587,18.847400665283203,0.21009500324726105,1
978,58873.5351,18.711299896240234,0.09189099818468094,2
979,58876.5363,18.88170051574707,0.12504300475120544,1
980,58876.5363,18.885400772094727,0.12405499815940857,1
981,58876.5746,18.71489906311035,0.09898900240659714,2
982,58879.5046,18.9419002532959,0.18927599489688873,1
983,58879.5409,18.706100463867188,0.2002899944782257,2
984,58885.4668,18.900299072265625,0.21621699631214142,1
985,58885.4668,18.900299072265625,0.21621699631214142,1
986,58885.5435,18.700700759887695,0.12035100162029266,2
987,58888.5103,18.837799072265625,0.21859200298786163,2
988,58891.4747,18.912399291992188,0.17054399847984314,1
989,58894.5409,18.606800079345703,0.07678599655628204,2
990,58894.5409,18.606800079345703,0.07678599655628204,2
991,58894.5593,18.820999145507812,0.12827999889850616,1
992,58898.5238,18.621700286865234,0.07854799926280975,2
993,58898.5238,18.621700286865234,0.07854799926280975,2
994,58898.5617,18.904699325561523,0.10543999820947647,1
995,58904.5242,18.68899917602539,0.10175099968910217,2
996,58904.5242,18.68899917602539,0.10175099968910217,2
997,58904.5525,18.877199172973633,0.12800100445747375,1
998,58908.5139,18.66900062561035,0.08256199955940247,2
999,58911.5038,18.777599334716797,0.10184100270271301,2
1000,58911.5038,18.777599334716797,0.10184100270271301,2
1001,58911.5374,18.952199935913086,0.11508800089359283,1
1002,58914.4641,18.920799255371094,0.11340899765491486,1
1003,58908.5139,18.66900062561035,0.08256199955940247,2
1004,58914.4641,18.920799255371094,0.11340899765491486,1
1005,58914.536,18.74839973449707,0.08320999890565872,2
1006,58936.4984,19.085599899291992,0.12088699638843536,1
1007,58936.4984,19.085599899291992,0.12088699638843536,1
1008,58936.507,18.787799835205078,0.1048479974269867,2
1009,58939.4656,18.601299285888672,0.2550620138645172,1
1010,58943.4437,19.116300582885742,0.1557369977235794,1
1011,58943.4437,19.116300582885742,0.1557369977235794,1
1012,58943.4815,18.824800491333008,0.09898000210523605,2
1013,58953.4565,18.898500442504883,0.09571100026369095,2
1014,58953.4565,18.898500442504883,0.09571100026369095,2
1015,58954.4326,19.152999877929688,0.13044700026512146,1
