index,filter,magpsf,sigmamagpsf,instrument,mjd
504,g,19.55,0.14,P48+ZTF,59015.3097000001
505,r,19.14,0.12,P48+ZTF,59015.3174999999
506,r,19.14,0.12,P48+ZTF,59015.3174999999
507,i,18.82,0.1,P48+ZTF,59015.3725000001
508,i,18.82,0.1,P48+ZTF,59015.3725000001
509,g,19.53,0.13,P48+ZTF,59018.3388
510,g,19.53,0.13,P48+ZTF,59018.3388
511,B,18.242603,0.11717013,Swift,58659.791781
512,B,18.29212,0.1131583,Swift,58672.454372
513,B,17.97183,0.11200022,Swift,58678.268666
514,B,18.16819,0.18873303,Swift,58683.763029
515,B,18.263262,0.17922793,Swift,58688.410061
516,B,18.16728,0.10298708,Swift,58693.690179
517,B,18.100149,0.12102044,Swift,58705.750576
518,B,18.104937,0.10719431,Swift,58707.273271
519,B,18.425858,0.16117795,Swift,58712.414918
520,B,18.121798,0.18195246,Swift,58719.556618
521,B,18.095732,0.1223539,Swift,58724.335726
522,B,18.315672,0.20068169,Swift,58729.581161
523,B,18.19297,0.11346459,Swift,58734.432284
524,B,18.375969,0.12289985,Swift,58750.429632
525,UVM2,19.065607,0.086815946,Swift,58659.801861
526,UVM2,19.343756,0.087666035,Swift,58672.459023
527,UVM2,19.535786,0.10288633,Swift,58678.272927
528,UVM2,19.206392,0.15220675,Swift,58683.76632
529,UVM2,19.304686,0.12701605,Swift,58688.41494
530,UVM2,19.136242,0.081027955,Swift,58693.695769
531,UVM2,19.18705,0.097072586,Swift,58705.75876
532,UVM2,19.236713,0.088830806,Swift,58707.284131
533,UVM2,19.216602,0.094571538,Swift,58712.420124
534,UVM2,19.238426,0.13741647,Swift,58719.560444
535,UVM2,19.400576,0.092904948,Swift,58724.341094
536,UVM2,19.488274,0.13305801,Swift,58729.918265
537,UVM2,19.562826,0.09942431,Swift,58734.443096
538,UVM2,19.647606,0.084877223,Swift,58750.434259
539,UVM2,20.32732,0.15164712,Swift,59007.690095
540,UVW1,18.750013,0.096624143,Swift,58659.788801
541,UVW1,18.91057,0.096822955,Swift,58672.452853
542,UVW1,19.13899,0.12141421,Swift,58678.267365
543,UVW1,18.927662,0.10437633,Swift,58683.830981
544,UVW1,18.996994,0.15004952,Swift,58688.408579
545,UVW1,18.737217,0.086649477,Swift,58693.687754
546,UVW1,18.700977,0.10347875,Swift,58705.748187
547,UVW1,18.789179,0.096171208,Swift,58707.270101
548,UVW1,18.931499,0.10842649,Swift,58712.413475
549,UVW1,19.095551,0.1719958,Swift,58719.555453
550,UVW1,19.18919,0.11770212,Swift,58724.334074
551,UVW1,19.224297,0.12369327,Swift,58729.579565
552,UVW1,19.202446,0.12010989,Swift,58734.429167
553,UVW1,19.229052,0.099049374,Swift,58750.428347
554,UVW1,20.051571,0.14463167,Swift,59007.690095
555,UVW2,19.108751,0.093792677,Swift,58659.794713
556,UVW2,19.486481,0.10134917,Swift,58672.45559
557,UVW2,19.655743,0.12122616,Swift,58678.269873
558,UVW2,19.502901,0.16543466,Swift,58683.764057
559,UVW2,19.327896,0.13354847,Swift,58688.411506
560,UVW2,19.354584,0.09214019,Swift,58693.691472
561,UVW2,19.335875,0.10957572,Swift,58705.752935
562,UVW2,19.343969,0.099333458,Swift,58707.276396
563,UVW2,19.434927,0.10580643,Swift,58712.416554
564,UVW2,19.659048,0.17177425,Swift,58719.557744
565,UVW2,19.374479,0.101391,Swift,58724.337263
566,UVW2,19.694052,0.16817872,Swift,58729.914907
567,UVW2,19.791573,0.11743566,Swift,58734.435356
568,UVW2,19.862637,0.1030604,Swift,58750.431
569,UVW2,20.336237,0.11962118,Swift,59007.690095
570,U,18.325232,0.097748637,Swift,58659.790769
571,U,18.526505,0.10001575,Swift,58672.453876
572,U,18.555342,0.11753001,Swift,58678.268222
573,U,18.638399,0.18535799,Swift,58683.762656
574,U,18.42461,0.14733407,Swift,58688.409546
575,U,18.514759,0.095200911,Swift,58693.689475
576,U,18.391745,0.11087659,Swift,58705.749763
577,U,18.416176,0.099212125,Swift,58707.272195
578,U,18.559835,0.12345038,Swift,58712.414395
579,U,18.223999,0.14840581,Swift,58719.55621
580,U,18.43228,0.11010879,Swift,58724.335168
581,U,18.692541,0.13048047,Swift,58729.580637
582,U,18.488216,0.10414004,Swift,58734.431226
583,U,18.699741,0.10508538,Swift,58750.429169
584,U,19.535429,0.12017627,Swift,59007.690095
585,V,17.896246,0.1689634,Swift,58659.797638
586,V,18.104002,0.17872331,Swift,58672.457141
587,V,18.019234,0.20007767,Swift,58678.271147
588,V,18.002487,0.30967346,Swift,58683.765071
589,V,18.117838,0.27170774,Swift,58688.412937
590,V,17.826971,0.14086673,Swift,58693.694219
591,V,17.72427,0.17136867,Swift,58705.755286
592,V,18.030968,0.17628694,Swift,58707.279511
593,V,17.990265,0.18945429,Swift,58712.417881
594,V,17.565239,0.22343127,Swift,58719.558858
595,V,17.895567,0.16952622,Swift,58724.338881
596,V,18.236206,0.33871013,Swift,58729.916147
597,V,17.810152,0.1572174,Swift,58734.43842
598,V,18.025635,0.15668081,Swift,58750.432195
599,J,17.51,0.2,P200,59032
600,H,16.45,0.2,P200,59032
601,Ks,15.33,0.2,P200,59032
